,Id,Nummer,Titels,Initialen,Tussenvoegsel,Achternaam,Voornamen,Roepnaam,Geslacht,Functie,Geboortedatum,Geboorteplaats,Geboorteland,Overlijdensdatum,Overlijdensplaats,Woonplaats,Land,ContentType,ContentLength,GewijzigdOp,ApiGewijzigdOp,Verwijderd
0,fab499e2-93b6-4bba-8266-00014175f6a6,,,,,,,,,,,,,,,,,,,,,
1,e55ca731-e1aa-44c0-a5f3-0008c23976f7,1034.0,,J.J.,,Atsma (CDA),Joop,Joop,man,Eerste kamerlid,1956-07-06T00:00:00+02:00,Surhuisterveen,,,,Surhuisterveen,NL,image/jpeg,27853.0,2020-11-20T13:29:40+01:00,2020-11-20T12:35:13.1006243Z,False
2,1c889902-6ede-427c-8682-000f683fffaa,2491.0,MA,M.,,Agema,Marie-Fleur,Fleur,vrouw,Tweede Kamerlid,1976-09-16T00:00:00+02:00,Purmerend,Nederland,,,Den Haag,NL,image/jpeg,34744.0,2020-11-20T13:29:40+01:00,2020-11-20T12:42:15.2760377Z,False
3,984df8b2-85d5-43cc-b1e8-0045cb0bf65f,1248.0,,HA,,Dambrink,,,man,Oud Kamerlid,1881-03-13T00:00:00+01:00,-,,1940-10-16,,,NL,,,2020-11-20T13:29:40+01:00,2020-11-20T12:36:14.5073893Z,False
4,372012da-a6aa-473f-abc7-0046bae86254,2114.0,,AG,,Verheyen,,,man,Oud Kamerlid,1770-10-30T00:00:00+01:00,-,,1857-07-12,,,NL,,,2020-11-20T13:29:40+01:00,2020-11-20T12:40:18.3375611Z,False
5,38e7a7c4-fcc5-4a78-9a93-0047a621aec9,1958.0,,J,,Schepel,,,man,Oud Kamerlid,1833-11-23T00:00:00+01:00,-,,1909-03-02,,,NL,,,2020-11-20T13:29:40+01:00,2020-11-20T12:39:21.7902146Z,False
6,003506c9-12dd-4ab7-9369-0063de35c6e5,1832.0,,FJW,van,Pallandt van Aylva,,,man,Oud Kamerlid,1826-09-20T00:00:00+02:00,-,,1906-01-27,,,NL,,,2020-11-20T13:29:40+01:00,2020-11-20T12:38:21.2272001Z,False
7,914be47a-a173-4b4d-8981-0065ef42898d,1461.0,,JJ,,Hasselman,,,man,Oud Kamerlid,1815-10-21T00:00:00+02:00,-,,1895-03-27,,,NL,,,2020-11-20T13:29:40+01:00,2020-11-20T12:37:20.2735648Z,False
8,53453842-043a-4787-bd56-006be8275710,1134.0,,Z,van den,Bergh,,,man,Oud Kamerlid,1854-08-09T00:00:00+02:00,-,,1942-06-12,,,NL,,,2020-11-20T13:29:40+01:00,2020-11-20T12:35:18.3819204Z,False
9,fdd9f30b-8505-422b-984a-007911915a01,665.0,,H,,Keuning,,,man,Oud Kamerlid,1918-09-17T00:00:00+02:00,Drachten,,2005-02-08,,Rottevalle,NL,,,2020-11-20T13:29:40+01:00,2020-11-20T12:33:16.8022332Z,False
10,c692b368-11f3-4e7c-9fb0-0094911ec050,,,,,,,,,,,,,,,,,,,,,
11,b05c47d7-4895-47f8-b972-009c1ca90107,,,,,,,,,,,,,,,,,,,,,
12,ea97065c-ac85-4b4c-8a21-00a7fd69c8f0,,,,,,,,,,,,,,,,,,,,,
13,5b3b5a24-25fc-40f6-9adf-00c695019366,,,,,,,,,,,,,,,,,,,,,
14,c78649e9-2f35-4177-974c-00c78fe39fe3,808.0,,C.G.A.,,Cornielje,Clemens,Clemens,man,Oud Kamerlid,1958-06-10T00:00:00+02:00,Lobith,,,,Arnhem,NL,image/jpeg,5576.0,2020-11-20T13:29:40+01:00,2020-11-20T12:34:22.443829Z,False
